name,ranked,genre,theme,status,episodes,duration,start_date,end_date,favorites
Houseki no Kuni,Ranked #184,"ActionAction,",,Finished,12,24,"['Oct7', '2017']","['Dec23', '2017']",12.472
Kamisama Hajimemashita: Kako-hen,Ranked #185,"ComedyComedy,","MythologyMythology,",Finished,4,30,"['Aug20', '2015']","['Aug19', '2016']",966
Kaze ga Tsuyoku Fuiteiru,Ranked #186,"DramaDrama,",,Finished,23,23,"['Oct3', '2018']","['Mar27', '2019']",5.760
Kimetsu no Yaiba: Mugen Ressha-hen,Ranked #187,"ActionAction,",,Finished,7,24,"['Oct10', '2021']","['Nov28', '2021']",3.792
3-gatsu no Lion,Ranked #188,"DramaDrama,","ChildcareChildcare,",Finished,22,25,"['Oct8', '2016']","['Mar18', '2017']",15.020
Barakamon,Ranked #189,,"ChildcareChildcare,",Finished,12,22,"['Jul6', '2014']","['Sep28', '2014']",12.496
Blue Lock,Ranked #190,,,Finished,24,24,"['Oct9', '2022']","['Mar26', '2023']",8.762
Boku no Hero Academia 6th Season,Ranked #191,,"SchoolSchool,",Finished,25,23,"['Oct1', '2022']","['Mar25', '2023']",5.917
Cowboy Bebop: Tengoku no Tobira,Ranked #192,"ActionAction,",Adult,Finished,1,1,"['Sep1', '2001']",[''],1.426
Non Non Biyori Nonstop,Ranked #194,,"CGDCTCGDCT,",Finished,12,24,"['Jan11', '2021']","['Mar29', '2021']",896
Kizumonogatari I: Tekketsu-hen,Ranked #196,"ActionAction,",,Finished,1,1,"['Jan8', '2016']",[''],3.363
Made in Abyss Movie 2: Hourou Suru Tasogare,Ranked #197,"AdventureAdventure,","GoreGore,",Finished,1,1,"['Jan18', '2019']",[''],197
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Ranked #198,"DramaDrama,",Mahou,Finished,1,1,"['Oct13', '2012']",[''],1.023
Mushoku Tensei: Isekai Ittara Honki Dasu,Ranked #193,"DramaDrama,","IsekaiIsekai,",Finished,11,23,"['Jan11', '2021']","['Mar22', '2021']",27.879
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,Ranked #201,"ComedyComedy,",Love,Finished,12,24,"['Jul10', '2020']","['Sep25', '2020']",13.459
Baccano!,Ranked #199,"ActionAction,","HistoricalHistorical,",Finished,13,24,"['Jul27', '2007']","['Nov2', '2007']",22.850
Fumetsu no Anata e,Ranked #200,"AdventureAdventure,",,Finished,20,25,"['Apr12', '2021']","['Aug30', '2021']",13.478
Haikyuu!! To the Top,Ranked #205,,"SchoolSchool,",Finished,13,24,"['Jan11', '2020']","['Apr4', '2020']",4.988
Kaze no Tani no Nausicaä,Ranked #206,"AdventureAdventure,",,Finished,1,1,"['Mar11', '1984']",[''],4.843
Mahou Shoujo Madoka★Magica,Ranked #204,Award,Mahou,Finished,12,24,"['Jan7', '2011']","['Apr22', '2011']",52.117
Usagi Drop,Ranked #202,,"ChildcareChildcare,",Finished,11,22,"['Jul8', '2011']","['Sep16', '2011']",5.977
Yoru ni Kakeru,Ranked #203,,,Finished,1,4,"['Nov16', '2019']",[''],91
Bakuman. 2nd Season,Ranked #207,"ComedyComedy,",,Finished,25,24,"['Oct1', '2011']","['Mar24', '2012']",1.370
Dr. Stone: New World,Ranked #208,"AdventureAdventure,",,Currently,,24,"['Apr6', '2023']",['?'],1.725
Gintama: Shiroyasha Koutan,Ranked #209,"ActionAction,","HistoricalHistorical,",Finished,1,10,"['Sep21', '2008']",[''],88
Hellsing Ultimate,Ranked #210,"ActionAction,",Adult,Finished,10,49,"['Feb10', '2006']","['Dec26', '2012']",20.811
K-On! Movie,Ranked #211,Award,"CGDCTCGDCT,",Finished,1,1,"['Dec3', '2011']",[''],2.642
Kage no Jitsuryokusha ni Naritakute!,Ranked #212,"ActionAction,","IsekaiIsekai,",Finished,20,23,"['Oct5', '2022']","['Feb15', '2023']",9.091
Kiseijuu: Sei no Kakuritsu,Ranked #214,"ActionAction,","GoreGore,",Finished,24,23,"['Oct9', '2014']","['Mar26', '2015']",33.242
Neon Genesis Evangelion,Ranked #213,"ActionAction,","MechaMecha,",Finished,26,24,"['Oct4', '1995']","['Mar27', '1996']",99.293
Psycho-Pass,Ranked #215,"ActionAction,",Adult,Finished,22,23,"['Oct12', '2012']","['Mar22', '2013']",37.507
